PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Delbrugger, T; Lenz, LT; Losch, D; Rossmann, J			IEEE	Delbruegger, Tim; Lenz, Lisa Theresa; Losch, Daniel; Rossmann, Juergen			A Navigation Framework for Digital Twins of Factories based on Building Information Modeling	2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 12-15, 2017	Limassol, CYPRUS	IEEE, ABB, ies, Univ Cyprus, Dept Elect Comp Engn																						1946-0740		978-1-5090-6505-9				2017																		WOS:000427812000147						
J	Ito, K				Ito, Kazuhide			Change beyond building information modeling to a "Digital Twin" in architecture	JAPAN ARCHITECTURAL REVIEW																														2475-8876					OCT	2019	2	4					391	391		10.1002/2475-8876.12123								WOS:000489627500001						
J	Mannino, A; Dejaco, MC; Cecconi, FR				Mannino, Antonino; Dejaco, Mario Claudio; Cecconi, Fulvio Re			Building Information Modelling and Internet of Things Integration for Facility Management-Literature Review and Future Needs	APPLIED SCIENCES-BASEL																	Dejaco, Mario Claudio/X-3199-2019; Fulvio, Re Cecconi/T-1438-2018	Dejaco, Mario Claudio/0000-0001-6804-4032; Fulvio, Re Cecconi/0000-0001-7716-8854; Mannino, Antonino/0000-0002-0371-8021													2076-3417				APR	2021	11	7							3062	10.3390/app11073062								WOS:000638313800001						
J	Jiang, F; Ma, L; Broyd, T; Chen, K				Jiang, Feng; Ma, Ling; Broyd, Tim; Chen, Ke			Digital twin and its implementations in the civil engineering sector	AUTOMATION IN CONSTRUCTION																	Ma, Ling/F-6641-2010	Ma, Ling/0000-0002-9187-471X												0926-5805	1872-7891				OCT	2021	130								103838	10.1016/j.autcon.2021.103838								WOS:000686331400002						
J	Oettinghaus, S				Oettinghaus, Sven			Digital construction with Building Information Modeling - the digital twin	WASSERWIRTSCHAFT																														0043-0978						2019	109	5					86	89		10.1007/s35147-019-0053-3								WOS:000466837800019						
J	Babalola, A; Musa, S; Akinlolu, MT; Haupt, TC				Babalola, Ayotunde; Musa, Shamsudeen; Akinlolu, Mariam Temisola; Haupt, Theo C.			A bibliometric review of advances in building information modeling (BIM) research	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																														1726-0531																10.1108/JEDT-01-2021-0013		MAR 2021						WOS:000626744400001						
J	Huynh, D; Nguyen-Ky, S				Huynh, Dat; Nguyen-Ky, Sy			Engaging Building Automation Data Visualisation Using Building Information Modelling and Progressive Web Application	OPEN ENGINEERING																	Nguyen-Ky, Sy/AAV-6337-2021	Nguyen-Ky, Sy/0000-0001-5258-9783												2391-5439					JUN 10	2020	10	1					434	442		10.1515/eng-2020-0054								WOS:000545316400001						
C	Jakobi, M; Kunath, L; Witzig, A		Haberle, A		Jakobi, Marc; Kunath, Lars; Witzig, Andreas			BIM Use-Case: Model-Based Performance Optimization	PROCEEDINGS OF THE ISES EUROSUN 2018 CONFERENCE - 12TH INTERNATIONAL CONFERENCE ON SOLAR ENERGY FOR BUILDINGS AND INDUSTRY					12th International Conference on Solar Energy for Buildings and Industry (ISES EuroSun)	2018	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil, Rapperswil, SWITZERLAND	Hoval, Polysun, Absolicon, Jinko Solar, Solar Technologie Int, Energiestadt Rapperswil Jona, Vogelin Energie & Solartechnik Gmbh, Swissolar, Int Solar Energy Soc	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil																							978-3-9820408-0-6				2018							1395	1402		10.18086/eurosun2018.11.07								WOS:000475550900146						
J	Flora, M; Froch, G; Gachter, W				Flora, Matthias; Froech, Georg; Gaechter, Werner			Optimization of construction management in underground construction using digital infrastructure information models	BAUTECHNIK																														0932-8351	1437-0999				NOV	2020	97	11					780	788		10.1002/bate.201900095		MAR 2020						WOS:000566003400001						
C	Trento, A; Wurzer, G; Coraglia, UM		Sousa, JP; Henriques, GC; Xavier, JP		Trento, Armando; Wurzer, Gabriel; Coraglia, Ugo Maria			A Digital Twin for Directing People Flow in Preserved Heritage Buildings	ECAADE SIGRADI 2019: ARCHITECTURE IN THE AGE OF THE 4TH INDUSTRIAL REVOLUTION, VOL 1					37th Conference on Education-and-Research-in-Computer-Aided-Architectural-Design-in-Europe (eCAADe) / 23rd Conference of the Iberoamerican-Society-Digital-Graphics (SIGraDi)	SEP 11-13, 2019	Univ Porto, Fac Architecture, Porto, PORTUGAL	Iberoamerican Soc Digital Graph, Autodesk, Graphisoft Archicad, Dassault Systemes, Bentley Inst, Educ & Res Comp Aided Architectural Design Europe, ACADIA, CAADRIA, ASCAAD, CAAD Futures	Univ Porto, Fac Architecture																							978-94-91207-17-4				2019							561	568										WOS:000562928600062						
C	Wan, H; David, M; Derigent, W				Wan, H.; David, M.; Derigent, W.			Design of a Multi-Agent System for exploiting the communicating concrete in a SHM/BIM context	IFAC PAPERSONLINE					4th International-Federation-of-Automatic-Control (IFAC) Workshop on Advanced Maintenance Engineering, Services and Technologies (AMEST)	SEP 10-11, 2020	Cambridge, ENGLAND	Int Federat Automat Control, Int Federat Automat Control Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control Tech Comm 5 3 Enterprise Integrat & Networking, Univ Cambridge, Ctr Digital Built Britain, Construct Innovat Hub, Int Federat Automat Control Tech Comm 6 4																						2405-8963						2020	53	3					372	379		10.1016/j.ifacol.2020.11.060								WOS:000600770000063						
C	Gray, FM; Dibowski, H; Gall, J; Braun, S			IEEE	Gray, Francesco Massa; Dibowski, Henrik; Gall, Jan; Braun, Sven			Occupant Feedback and Context Awareness: On the Application of Building Information Modeling and Semantic Technologies for Improved Complaint Management in Commercial Buildings	2020 25TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 08-11, 2020	Vienna, AUSTRIA	Inst Elect & Elect Engineers, IEEE Ind Elect Soc, TU Wien, Inst Comp Technol																						1946-0740	1946-0759	978-1-7281-8956-7				2020							101	108										WOS:000627406500012						
J	Sepasgozar, SME; Hui, FKP; Shirowzhan, S; Foroozanfar, M; Yang, LM; Aye, L				Sepasgozar, Samad M. E.; Hui, Felix Kin Peng; Shirowzhan, Sara; Foroozanfar, Mona; Yang, Liming; Aye, Lu			Lean Practices Using Building Information Modeling (BIM) and Digital Twinning for Sustainable Construction	SUSTAINABILITY																	Aye, Lu/J-8733-2013; Hui, Felix Kin Peng/T-3752-2018	Aye, Lu/0000-0002-5495-1683; Hui, Felix Kin Peng/0000-0002-4800-9130; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2071-1050				JAN	2021	13	1							161	10.3390/su13010161								WOS:000606382000001						
C	Wang, Z; Jiang, HF; Zhang, WC; Liu, LW			IEEE	Wang, Zhen; Jiang, Haifeng; Zhang, Wencheng; Liu, Liwei			The Problem Analysis and Solution Suggestion in the Process of City Information Model Construction	2020 THE 4TH INTERNATIONAL CONFERENCE ON SMART GRID AND SMART CITIES (ICSGSC 2020)					4th International Conference on Smart Grid and Smart Cities (ICSGSC)	AUG 18-21, 2020	ELECTR NETWORK	IEEE, IEEE Power & Energy Soc, Beijing Jiaotong Univ, Beijing Inst Technol, UNSW, UNSW, Digital Grid Futures Inst, Tokai Univ, Amer Univ Sharjah, Univ Wolverhampton																								978-1-7281-9404-2				2020							109	112										WOS:000648752100018						
J	Lin, YC; Cheung, WF				Lin, Yu-Cheng; Cheung, Weng-Fong			Developing WSN/BIM-Based Environmental Monitoring Management System for Parking Garages in Smart Cities	JOURNAL OF MANAGEMENT IN ENGINEERING																														0742-597X	1943-5479				MAY 1	2020	36	3							04020012	10.1061/(ASCE)ME.1943-5479.0000760								WOS:000563797200013						
C	Heaton, J; Parlikad, AK				Heaton, James; Parlikad, Ajith K.			Asset Information Model to support the adoption of a Digital Twin: West Cambridge case study	IFAC PAPERSONLINE					4th International-Federation-of-Automatic-Control (IFAC) Workshop on Advanced Maintenance Engineering, Services and Technologies (AMEST)	SEP 10-11, 2020	Cambridge, ENGLAND	Int Federat Automat Control, Int Federat Automat Control Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control Tech Comm 5 3 Enterprise Integrat & Networking, Univ Cambridge, Ctr Digital Built Britain, Construct Innovat Hub, Int Federat Automat Control Tech Comm 6 4																						2405-8963						2020	53	3					366	371		10.1016/j.ifacol.2020.11.059								WOS:000600770000062						
J	Moretti, N; Ellul, C; Cecconi, FR; Papapesios, N; Dejaco, MC				Moretti, Nicola; Ellul, Claire; Cecconi, Fulvio Re; Papapesios, Nikolaos; Dejaco, Mario Claudio			GeoBIM for built environment condition assessment supporting asset management decision making	AUTOMATION IN CONSTRUCTION																	Moretti, Nicola/T-1347-2018; Fulvio, Re Cecconi/T-1438-2018	Moretti, Nicola/0000-0002-7197-8677; Fulvio, Re Cecconi/0000-0001-7716-8854												0926-5805	1872-7891				OCT	2021	130								103859	10.1016/j.autcon.2021.103859								WOS:000692786400002						
J	Deng, M; Menassa, CC; Kamat, VR				Deng, Min; Menassa, Carol C.; Kamat, Vineet R.			FROM BIM TO DIGITAL TWINS: A SYSTEMATIC REVIEW OF THE EVOLUTION OF INTELLIGENT BUILDING REPRESENTATIONS IN THE AEC-FM INDUSTRY	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																														1874-4753						2021	26						58	83		10.36680/j.itcon.2021.005								WOS:000626039100001						
C	Rausch, C; Sanchez, B; Esfahani, ME; Haas, C		Tang, PB; Grau, D; Elasmar, M		Rausch, Chris; Sanchez, Benjamin; Esfahani, Mansour Esnaashary; Haas, Carl			Computational Algorithms for Digital Twin Support in Construction	CONSTRUCTION RESEARCH CONGRESS 2020: COMPUTER APPLICATIONS					Construction Research Congress (CRC) on Construction Research and Innovation to Transform Society	MAR 08-10, 2020	Arizona State Univ, Del E Webb Sch Construct, Tempe, AZ	Construct Res Council, Amer Soc Civil Engineers, Construct Inst, Amer Soc Civil Engineers, Arizona State Univ	Arizona State Univ, Del E Webb Sch Construct									Sanchez, Benjamin/0000-0002-1774-0908														978-0-7844-8286-5				2020							191	200										WOS:000652190900020						
C	Xie, X; Lu, QC; Parlikad, AK; Schooling, JM				Xie, Xiang; Lu, Qiuchen; Parlikad, Ajith Kumar; Schooling, Jennifer Mary			Digital Twin Enabled Asset Anomaly Detection for Building Facility Management	IFAC PAPERSONLINE					4th International-Federation-of-Automatic-Control (IFAC) Workshop on Advanced Maintenance Engineering, Services and Technologies (AMEST)	SEP 10-11, 2020	Cambridge, ENGLAND	Int Federat Automat Control, Int Federat Automat Control Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control Tech Comm 5 3 Enterprise Integrat & Networking, Univ Cambridge, Ctr Digital Built Britain, Construct Innovat Hub, Int Federat Automat Control Tech Comm 6 4																						2405-8963						2020	53	3					380	385		10.1016/j.ifacol.2020.11.061								WOS:000600770000064						
J	Van Rens, J				Van Rens, James			The Future of Lidar is Critical to the Future of Our World	GIM INTERNATIONAL-THE WORLDWIDE MAGAZINE FOR GEOMATICS																														1566-9076					SEP-OCT	2020	34	4					24	25										WOS:000600272400015						
J	You, ZJ; Feng, LJ				You, Zhijia; Feng, Lingjun			Integration of Industry 4.0 Related Technologies in Construction Industry: A Framework of Cyber-Physical System	IEEE ACCESS																														2169-3536						2020	8						122908	122922		10.1109/ACCESS.2020.3007206								WOS:000553703000001						
C	Miller, C; Abdelrahman, M; Chong, A; Biljecki, F; Quintana, M; Frei, M; Chew, M; Wong, D		Scartezzini, JL; Smith, B		Miller, Clayton; Abdelrahman, Mahmoud; Chong, Adrian; Biljecki, Filip; Quintana, Matias; Frei, Mario; Chew, Michael; Wong, Daniel			The Internet-of-Buildings (IoB) - Digital twin convergence of wearable and IoT data with GIS/BIM	CARBON-NEUTRAL CITIES - ENERGY EFFICIENCY AND RENEWABLES IN THE DIGITAL ERA (CISBAT 2021)	Journal of Physics Conference Series				International Hybrid Conference on Carbon Neutral Cities - Energy Efficiency and Renewables in the Digital Era (CISBAT)	SEP 08-10, 2021	Ecole Polytechnique Fed Lausanne, Solar Energy & Bldg Phys Lab, Lausanne, SWITZERLAND	Swiss Fed Off Energy	Ecole Polytechnique Fed Lausanne, Solar Energy & Bldg Phys Lab																					1742-6588	1742-6596					2021	2042								012041	10.1088/1742-6596/2042/1/012041								WOS:000724676100041						
J	Rausch, C; Lu, RD; Talebi, S; Haas, C				Rausch, Christopher; Lu, Ruodan; Talebi, Saeed; Haas, Carl			Deploying 3D scanning based geometric digital twins during fabrication and assembly in offsite manufacturing	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																														1562-3599	2331-2327															10.1080/15623599.2021.1896942		MAR 2021						WOS:000626605300001						
J	Khajavi, SH; Motlagh, NH; Jaribion, A; Werner, LC; Holmstrom, J				Khajavi, Siavash H.; Motlagh, Naser Hossein; Jaribion, Alireza; Werner, Liss C.; Holmstroem, Jan			Digital Twin: Vision, Benefits, Boundaries, and Creation for Buildings	IEEE ACCESS																	Jaribion, Alireza/AAN-6751-2020; Khajavi, Siavash Haghighat/H-5187-2018; Holmström, Jan B/E-7230-2012; Motlagh, Naser Hossein/AAG-9568-2019; Werner, Liss C./P-4678-2016	Jaribion, Alireza/0000-0003-1916-1309; Khajavi, Siavash Haghighat/0000-0002-5166-4021; Holmström, Jan B/0000-0002-2596-0337; Motlagh, Naser Hossein/0000-0001-9923-9879; Werner, Liss C./0000-0003-4184-6670												2169-3536						2019	7						147406	147419		10.1109/ACCESS.2019.2946515								WOS:000497160500006						
J	Lee, D; Lee, SH; Masoud, N; Krishnan, MS; Li, VC				Lee, Dongmin; Lee, Sang Hyun; Masoud, Neda; Krishnan, M. S.; Li, Victor C.			Integrated digital twin and blockchain framework to support accountable information sharing in construction projects	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				JUL	2021	127								103688	10.1016/j.autcon.2021.103688								WOS:000663445700006						
J	Godager, B; Onstein, E; Huang, LZ				Godager, Bjoern; Onstein, Erling; Huang, Lizhen			The Concept of Enterprise BIM: Current Research Practice and Future Trends	IEEE ACCESS																		Godager, Bjorn Arild/0000-0002-1563-3703												2169-3536						2021	9						42265	42290		10.1109/ACCESS.2021.3065116								WOS:000633635000001						
C	Nyvlt, V			IOP	Nyvlt, V			BIM within current building facilities and infrastructure	INTERNATIONAL CONFERENCE SAFETY PROBLEMS OF CIVIL ENGINEERING CRITICAL INFRASTRUCTURES	IOP Conference Series-Materials Science and Engineering				5th International Conference Safety Problems of Civil Engineering Critical Infrastructures (SPCECI)	MAY 21-22, 2019	Ural Fed Univ, Ekaterinburg, RUSSIA	Russian Acad Sci, Ural Branch, Russian Acad Sci, Ural Branch, Sci & Engn Ctr Reliabil & Safety Large Syst & Machines, Russian Acad Architecture & Construct Sci, Ural Territorial Branch, S Ural State Univ, European Civil Engn Educ & Training	Ural Fed Univ																					1757-8981						2020	972								012040	10.1088/1757-899X/972/1/012040								WOS:000648525900040						
J	Meza, S; Pranjic, AM; Vezocnik, R; Osmokrovic, I; Lenart, S				Meza, Sebastjan; Mauko Pranjic, Alenka; Vezocnik, Rok; Osmokrovic, Igor; Lenart, Stanislav			Digital Twins and Road Construction Using Secondary Raw Materials	JOURNAL OF ADVANCED TRANSPORTATION																		Meza, Sebastjan/0000-0002-4002-0204; Lenart, Stanislav/0000-0003-4818-5668												0197-6729	2042-3195				JAN 19	2021	2021								8833058	10.1155/2021/8833058								WOS:000616181100001						
J	Marocco, M; Garofolo, I				Marocco, Marco; Garofolo, Ilaria			Integrating disruptive technologies with facilities management: A literature review and future research directions	AUTOMATION IN CONSTRUCTION																		Marocco, Marco/0000-0002-2055-6896												0926-5805	1872-7891				NOV	2021	131								103917	10.1016/j.autcon.2021.103917								WOS:000696590500002						
C	Trento, A; Kieferle, JB; Wossner, U		Werner, LC; Koering, D		Trento, Armando; Kieferle, Joachim B.; Woessner, Uwe			A Decision Making Tool for Supporting Strategies of Archaeological Restoration Case Study of Ostia, Maritime 'Portus' of the Imperial Rome	ECAADE 2020: ANTHROPOLOGIC - ARCHITECTURE AND FABRICATION IN THE COGNITIVE AGE, VOL 1	eCAADe Proceedings				38th Conference on Education and Research in Computer Aided Architectural Design in Europe (eCAADe)	SEP 16-17, 2020	Tech Univ Berlin, Inst Architecture, ELECTR NETWORK	Bentley Inst, German Res Fdn, Biomimetics, Tech Univ Berlin, Gesellschaft Freunden, Tech Univ Berlin, CyPhy Lab	Tech Univ Berlin, Inst Architecture																					2684-1843		978-9-49120-720-4				2020							107	116										WOS:000651200600011						
C	Tchana, Y; Ducellier, G; Remy, S		Putnik, GD		Tchana, Yvan; Ducellier, Guillaume; Remy, Sebastien			Designing a unique Digital Twin for linear infrastructures lifecycle management	29TH CIRP DESIGN CONFERENCE 2019	Procedia CIRP				29th CIRP Design Conference (CIRP Design)	MAY 08-10, 2019	Povoa de Varzim, PORTUGAL	Int Acad Prod Engn, Sci Tech Comm Design, Univ Minho, Tecnol Ctr Met Working Ind, Univ Minho, Dept Prod & Syst, Lab Virtual Enterprises																						2212-8271						2019	84						545	549		10.1016/j.procir.2019.04.176								WOS:000566943700091						
J	Rausch, C; Haas, C				Rausch, Christopher; Haas, Carl			Automated shape and pose updating of building information model elements from 3D point clouds	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				APR	2021	124								103561	10.1016/j.autcon.2021.103561								WOS:000623401200004						
J	Zhao, L; Zhang, H; Wang, Q; Wang, HN				Zhao, Liang; Zhang, Hong; Wang, Qian; Wang, Haining			Digital-Twin-Based Evaluation of Nearly Zero-Energy Building for Existing Buildings Based on Scan-to-BIM	ADVANCES IN CIVIL ENGINEERING																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X												1687-8086	1687-8094				APR 9	2021	2021								6638897	10.1155/2021/6638897								WOS:000641606400004						
J	O'Grady, TM; Brajkovich, N; Minunno, R; Chong, HY; Morrison, GM				O'Grady, Timothy M.; Brajkovich, Nicholas; Minunno, Roberto; Chong, Heap-Yih; Morrison, Gregory M.			Circular Economy and Virtual Reality in Advanced BIM-Based Prefabricated Construction	ENERGIES																	Chong, Heap-Yih/M-8354-2017; Minunno, Roberto/AAX-8690-2021	Chong, Heap-Yih/0000-0002-6080-7530; Minunno, Roberto/0000-0002-9546-0637; Morrison, Gregory/0000-0002-2101-6525; O'Grady, Timothy/0000-0001-8581-0050													1996-1073				JUL	2021	14	13							4065	10.3390/en14134065								WOS:000671330300001						
J	Jouan, P; Hallot, P				Jouan, Pierre; Hallot, Pierre			Digital Twin: Research Framework to Support Preventive Conservation Policies	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Jouan, Pierre/AAC-7072-2021	Jouan, Pierre/0000-0003-1784-8895; Hallot, Pierre/0000-0002-4449-6496													2220-9964				APR	2020	9	4							228	10.3390/ijgi9040228								WOS:000539535700043						
J	Bosch-Sijtsema, P; Claeson-Jonsson, C; Johansson, M; Roupe, M				Bosch-Sijtsema, Petra; Claeson-Jonsson, Christina; Johansson, Mikael; Roupe, Mattias			The hype factor of digital technologies in AEC	CONSTRUCTION INNOVATION-ENGLAND																	; Bosch-Sijtsema, Petra/B-2889-2016	Claeson-Jonsson, Christina/0000-0003-0488-4723; Bosch-Sijtsema, Petra/0000-0001-8141-9759												1471-4175	1477-0857				OCT 21	2021	21	4					899	916		10.1108/CI-01-2020-0002		FEB 2021						WOS:000623745200001						
J	Liu, ZS; Meng, XT; Xing, ZZ; Jiang, AT				Liu, Zhansheng; Meng, Xintong; Xing, Zezhong; Jiang, Antong			Digital Twin-Based Safety Risk Coupling of Prefabricated Building Hoisting	SENSORS																															1424-8220				JUN	2021	21	11							3583	10.3390/s21113583								WOS:000660670300001	34064110					
J	White, G; Zink, A; Codeca, L; Clarke, S				White, Gary; Zink, Anna; Codeca, Lara; Clarke, Siobhan			A digital twin smart city for citizen feedback	CITIES																														0264-2751	1873-6084				MAR	2021	110								103064	10.1016/j.cities.2020.103064								WOS:000618544100001						
C	Chen, L; Whyte, J		Tang, PB; Grau, D; Elasmar, M		Chen, Long; Whyte, Jennifer			Analysing Interdependencies of Complex Engineering Systems Using a Digital Twin-Driven Design Structure Matrix	CONSTRUCTION RESEARCH CONGRESS 2020: COMPUTER APPLICATIONS					Construction Research Congress (CRC) on Construction Research and Innovation to Transform Society	MAR 08-10, 2020	Arizona State Univ, Del E Webb Sch Construct, Tempe, AZ	Construct Res Council, Amer Soc Civil Engineers, Construct Inst, Amer Soc Civil Engineers, Arizona State Univ	Arizona State Univ, Del E Webb Sch Construct																							978-0-7844-8286-5				2020							417	426										WOS:000652190900043						
C	Stojanovic, V; Trapp, M; Richter, R; Dollner, J		Spencer, SN		Stojanovic, Vladeta; Trapp, Matthias; Richter, Rico; Doellner, Juergen			Classification of Indoor Point Clouds Using Multiviews	PROCEEDINGS WEB3D 2019: THE 24TH INTERNATIONAL ACM CONFERENCE ON 3D WEB TECHNOLOGY					24th ACM International Conference on 3D Web Technology (Web3D)	JUL 26-28, 2019	Los Angeles, CA	Assoc Comp Machinery, ACM SIGGRAPH, Web3D Consortium, EuroGraphics																								978-1-4503-6798-1				2019									7	10.1145/3329714.3338129								WOS:000555907400007						
J	Seghezzi, E; Locatelli, M; Pellegrini, L; Pattini, G; Di Giuda, GM; Tagliabue, LC; Boella, G				Seghezzi, Elena; Locatelli, Mirko; Pellegrini, Laura; Pattini, Giulia; Di Giuda, Giuseppe Martino; Tagliabue, Lavinia Chiara; Boella, Guido			Towards an Occupancy-Oriented Digital Twin for Facility Management: Test Campaign and Sensors Assessment	APPLIED SCIENCES-BASEL																		Tagliabue, Lavinia Chiara/0000-0002-3059-4204													2076-3417				APR	2021	11	7							3108	10.3390/app11073108								WOS:000638360700001						
J	Mark, P; Lanza, G; Lordick, D; Albers, A; Konig, M; Borrmann, A; Stempniewski, L; Forman, P; Frey, AM; Renz, R; Manny, A				Mark, Peter; Lanza, Gisela; Lordick, Daniel; Albers, Albert; Koenig, Markus; Borrmann, Andre; Stempniewski, Lothar; Forman, Patrick; Frey, Alex Maximilian; Renz, Robert; Manny, Agemar			From craft to customised flow production - the priority program adaptive modularised constructions made in a flux	BAUTECHNIK																		Forman, Patrick/0000-0001-8292-7966; Albers, Albert/0000-0001-5432-704X												0932-8351	1437-0999				MAR	2021	98	3					245	258		10.1002/bate.202000110		FEB 2021						WOS:000618807700001						
J	Torrecilla-Garcia, JA; Pardo-Ferreira, MC; Rubio-Romero, JC				Torrecilla-Garcia, J. A.; Pardo-Ferreira, M. C.; Rubio-Romero, J. C.			Overall Introduction to the Framework of BIM-based Digital Twinning in Decision-making in Safety Management in Building Construction Industry	DIRECCION Y ORGANIZACION																														1132-175X	2171-6323				JUL	2021	74						31	38		10.37610/dyo.v0i74.599								WOS:000687713100003						
J	Zaballos, A; Briones, A; Massa, A; Centelles, P; Caballero, V				Zaballos, Agustin; Briones, Alan; Massa, Alba; Centelles, Pol; Caballero, Victor			A Smart Campus' Digital Twin for Sustainable Comfort Monitoring	SUSTAINABILITY																	Briones, Alan/AAZ-2904-2021; Zaballos, Agustin/I-1320-2015	Zaballos, Agustin/0000-0003-2755-4428; Briones, Alan/0000-0003-2009-8669; Massa, Alba/0000-0002-0757-8927													2071-1050				NOV	2020	12	21							9196	10.3390/su12219196								WOS:000589212800001						
J	Coupry, C; Noblecourt, S; Richard, P; Baudry, D; Bigaud, D				Coupry, Corentin; Noblecourt, Sylvain; Richard, Paul; Baudry, David; Bigaud, David			BIM-Based Digital Twin and XR Devices to Improve Maintenance Procedures in Smart Buildings: A Literature Review	APPLIED SCIENCES-BASEL																		Baudry, David/0000-0002-4386-4496; Coupry, Corentin/0000-0003-0037-5606													2076-3417				AUG	2021	11	15							6810	10.3390/app11156810								WOS:000681928400001						
J	Wu, YJ; Shang, JG; Xue, F				Wu, Yijie; Shang, Jianga; Xue, Fan			RegARD: Symmetry-Based Coarse Registration of Smartphone's Colorful Point Clouds with CAD Drawings for Low-Cost Digital Twin Buildings	REMOTE SENSING																	Xue, Fan/H-9198-2012	Xue, Fan/0000-0003-2217-3693													2072-4292				MAY	2021	13	10							1882	10.3390/rs13101882								WOS:000662639700001						
J	Alizadehsalehi, S; Yitmen, I				Alizadehsalehi, Sepehr; Yitmen, Ibrahim			Digital twin-based progress monitoring management model through reality capture to extended reality technologies (DRX)	SMART AND SUSTAINABLE BUILT ENVIRONMENT																	Alizadehsalehi, Sepehr/R-7426-2018	Alizadehsalehi, Sepehr/0000-0003-1567-2590; Yitmen, Ibrahim/0000-0003-4288-9904												2046-6099	2046-6102															10.1108/SASBE-01-2021-0016		APR 2021						WOS:000646303700001						
J	Ozturk, GB				Ozturk, Gozde Basak			Digital Twin Research in the AECO-FM Industry	JOURNAL OF BUILDING ENGINEERING																	Ozturk, Gozde Basak/K-4182-2019	OZTURK, GOZDE BASAK/0000-0003-4617-6936												2352-7102					AUG	2021	40								102730	10.1016/j.jobe.2021.102730								WOS:000663176100005						
J	Al-Saeed, Y; Edwards, DJ; Scaysbrook, S				Al-Saeed, Yahya; Edwards, David John; Scaysbrook, Stephen			Automating construction manufacturing procedures using BIM digital objects (BDOs) Case study of knowledge transfer partnership project in UK	CONSTRUCTION INNOVATION-ENGLAND																														1471-4175	1477-0857					2020	20	3			SI		345	377		10.1108/CI-12-2019-0141		FEB 2020						WOS:000512156700001						
J	Pan, ZY; Shi, JY; Jiang, L				Pan, Zeyu; Shi, Jianyong; Jiang, Liu			A Novel HDF-Based Data Compression and Integration Approach to Support BIM-GIS Practical Applications	ADVANCES IN CIVIL ENGINEERING																		Jiang, Liu/0000-0002-3355-2157												1687-8086	1687-8094				DEC 22	2020	2020								8865107	10.1155/2020/8865107								WOS:000607930600002						
J	Sepasgozar, SME				Sepasgozar, Samad M. E.			Differentiating Digital Twin from Digital Shadow: Elucidating a Paradigm Shift to Expedite a Smart, Sustainable Built Environment	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				APR	2021	11	4							151	10.3390/buildings11040151								WOS:000642779400001						
J	Khalil, A; Stravoravdis, S; Backes, D				Khalil, Ahmed; Stravoravdis, Spyridon; Backes, Dietmar			Categorisation of building data in the digital documentation of heritage buildings	APPLIED GEOMATICS																	Stravoravdis, Spyros/AAD-9272-2021	Khalil, Ahmed/0000-0003-2078-7122; Stravoravdis, Spyros/0000-0001-6122-8701; Backes, Dietmar/0000-0002-7693-1552												1866-9298	1866-928X				MAR	2021	13	1					29	54		10.1007/s12518-020-00322-7		JUN 2020						WOS:000537410200001						
J	Love, PED; Matthews, J				Love, Peter E. D.; Matthews, Jane			The 'how' of benefits management for digital technology: From engineering to asset management	AUTOMATION IN CONSTRUCTION																		Matthews, Jane/0000-0003-3367-9278												0926-5805	1872-7891				NOV	2019	107								102930	10.1016/j.autcon.2019.102930								WOS:000494887600015						
